#1				
double	AHU(8761, 5)		
1962000	295.05	0.244166667	0.244166667	1
1965600	295.1083333	0.2425	0.2425	1
1969200	295.0227273	0.240909091	0.240909091	1
1972800	294.97	0.24	0.24	1
1976400	298.2833333	0.2	0.2	1
1980000	296.4083333	0.215	0.215	1
1983600	296.5666667	0.21	0.21	1
1987200	296.6	0.21	0.21	1
1990800	296.7416667	0.203333333	0.203333333	1
1994400	296.7136364	0.207272727	0.207272727	1
1998000	296.6583333	0.200833333	0.200833333	1
2001600	296.7416667	0.196666667	0.196666667	1
2005200	296.9583333	0.19	0.19	1
2008800	296.9	0.185	0.185	1
2012400	297.2409091	0.178181818	0.178181818	1
2016000	296.7833333	0.176666667	0.176666667	1
2019600	296.2916667	0.18	0.18	1
2023200	297.6916667	0.169166667	0.169166667	1
2026800	297.7833333	0.17	0.17	1
2030400	297.6393939	0.171363636	0.171363636	1
2034000	297.4954545	0.172727273	0.172727273	1
2037600	297.75	0.17	0.17	1
2041200	297.7	0.176666667	0.176666667	1
2044800	297.5166667	0.179166667	0.179166667	1
2048400	299.3583333	0.16	0.16	1
2052000	301.525	0.139166667	0.139166667	1
2055600	301.5666667	0.14	0.14	1
2059200	301.5083333	0.14	0.14	1
2062800	301.55	0.141818182	0.141818182	1
2066400	301.5416667	0.144166667	0.144166667	1
2070000	301.6416667	0.144166667	0.144166667	1
2073600	301.6583333	0.14	0.14	1
2077200	301.7166667	0.14	0.14	1
2080800	301.7083333	0.141666667	0.141666667	1
2084400	301.7083333	0.14	0.14	1
2088000	301.6916667	0.14	0.14	1
2091600	301.8083333	0.14	0.14	1
2095200	301.7416667	0.145	0.145	1
2098800	301.5	0.158333333	0.158333333	1
2102400	301.375	0.160833333	0.160833333	1
2106000	300.65	0.171666667	0.171666667	1
2109600	295.7916667	0.239166667	0.239166667	1
2113200	296.8666667	0.240833333	0.240833333	1
2116800	296.7916667	0.254166667	0.254166667	1
2120400	296.7916667	0.260833333	0.260833333	1
2124000	296.625	0.27	0.27	1
2127600	296.5083333	0.270833333	0.270833333	1
2131200	297.2416667	0.26	0.26	1
2134800	297.075	0.26	0.26	1
2138400	296.45	0.26375	0.26375	1
2142000	296.62	0.252	0.252	1
2145600	296.5772727	0.25	0.25	1
2149200	296.7833333	0.233333333	0.233333333	1
2152800	296.925	0.216666667	0.216666667	1
2156400	297.1	0.21	0.21	1
2160000	297.7583333	0.208333333	0.208333333	1
2163600	298.0227273	0.208181818	0.208181818	1
2167200	298.3333333	0.215	0.215	1
2170800	298.4083333	0.2175	0.2175	1
2174400	298.3666667	0.2225	0.2225	1
2178000	298.3583333	0.250833333	0.250833333	1
2181600	298.3333333	0.2525	0.2525	1
2185200	298.9583333	0.2425	0.2425	1
2188800	298.0833333	0.249166667	0.249166667	1
2192400	297.2083333	0.2525	0.2525	1
2196000	296.9583333	0.26	0.26	1
2199600	296.7583333	0.2675	0.2675	1
2203200	296.7954545	0.265454545	0.265454545	1
2206800	297.4333333	0.256666667	0.256666667	1
2210400	297.7409091	0.251818182	0.251818182	1
2214000	297.075	0.261666667	0.261666667	1
2217600	297.2583333	0.266666667	0.266666667	1
2221200	296.9583333	0.270833333	0.270833333	1
2224800	296.825	0.270833333	0.270833333	1
2228400	296.85	0.27	0.27	1
2232000	297.0666667	0.27	0.27	1
2235600	297.1916667	0.27	0.27	1
2239200	297.3666667	0.268333333	0.268333333	1
2242800	297.7916667	0.258333333	0.258333333	1
2246400	297.975	0.25	0.25	1
2250000	298.4333333	0.245833333	0.245833333	1
2253600	298.675	0.25	0.25	1
2257200	298.7916667	0.256666667	0.256666667	1
2260800	298.65	0.27	0.27	1
2264400	298.6416667	0.276666667	0.276666667	1
2268000	298.8833333	0.269166667	0.269166667	1
2271600	298.9318182	0.265454545	0.265454545	1
2275200	298.3666667	0.281666667	0.281666667	1
2278800	298.5227273	0.282727273	0.282727273	1
2282400	297.925	0.294166667	0.294166667	1
2286000	297.9166667	0.298333333	0.298333333	1
2289600	298.1409091	0.3	0.3	1
2293200	298.325	0.291666667	0.291666667	1
2296800	298.0681818	0.290909091	0.290909091	1
2300400	297.8863636	0.287272727	0.287272727	1
2304000	297.725	0.274166667	0.274166667	1
2307600	297.175	0.284166667	0.284166667	1
2311200	297.4	0.286666667	0.286666667	1
